Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	151	70	Song	TR	0	0.06579150
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	43	70	Song	PK	0	0.02577090
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	26	70	Song	AR	0	0.02106496
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	8	70	Song	HR	0	0.01135956
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	96	70	Song	PT	0	0.13826236
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	29	70	Song	IE	0	0.09309272
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	166	70	Song	BE	0	0.40555130
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	80	70	Song	MY	0	0.06128097
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	19	70	Song	CO	0	0.01270009
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	78	70	Song	PH	0	0.04431160
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	36	70	Song	ID	0	0.01607113
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	9	70	Song	AL	0	0.00857154
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2128	70	Song	DE	0	5.94781203
